# time	avg1_10	std1_10	avg2_10	std2_10	corr_10	avg1m_10	std1m_10	avg2m_10	std2m_10	corrm_10
121.000000	3.548000	1.554894	3.567000	1.571468	0.000000	3.459000	1.572361	3.560000	1.533754	0.000000
122.000000	3.523000	1.536057	3.572000	1.579499	0.000000	3.483000	1.589249	3.591000	1.505895	0.000000
123.000000	3.522000	1.536072	3.503000	1.550481	0.000000	3.466000	1.559758	3.548000	1.527644	0.000000
124.000000	3.536000	1.527974	3.495000	1.547248	0.000000	3.492000	1.529685	3.521000	1.532827	0.000000
125.000000	3.536000	1.513507	3.465000	1.527342	0.000000	3.491000	1.524441	3.496000	1.513930	0.000000
126.000000	3.529000	1.551502	3.490000	1.569681	0.000000	3.492000	1.529685	3.543000	1.542125	0.000000
127.000000	3.545000	1.580498	3.508000	1.562670	0.000000	3.463000	1.520076	3.558000	1.559691	0.000000
128.000000	3.543000	1.580554	3.526000	1.536660	0.000000	3.465000	1.504252	3.542000	1.558280	0.000000
129.000000	3.534000	1.587087	3.542000	1.488703	0.000000	3.468000	1.542393	3.567000	1.528238	0.000000
130.000000	3.499000	1.600000	3.549000	1.507846	0.000000	3.480000	1.518420	3.602000	1.547125	0.000000
131.000000	3.527000	1.601022	3.554000	1.560476	0.000000	3.514000	1.561347	3.567000	1.515094	0.000000
132.000000	3.547000	1.573465	3.582000	1.529469	0.000000	3.486000	1.547192	3.559000	1.527913	0.000000
133.000000	3.528000	1.545062	3.565000	1.538758	0.000000	3.483000	1.521746	3.564000	1.568408	0.000000
134.000000	3.536000	1.498901	3.522000	1.550328	0.000000	3.498000	1.547901	3.555000	1.598429	0.000000
135.000000	3.559000	1.494162	3.535000	1.567410	0.000000	3.491000	1.549813	3.547000	1.628432	0.000000
136.000000	3.560000	1.510099	3.550000	1.543211	0.000000	3.495000	1.579232	3.515000	1.561338	0.000000
137.000000	3.540000	1.526565	3.555000	1.550153	0.000000	3.515000	1.569004	3.480000	1.547126	0.000000
138.000000	3.467000	1.504962	3.515000	1.531592	0.000000	3.484000	1.551046	3.472000	1.559877	0.000000
139.000000	3.457000	1.494038	3.541000	1.552520	0.000000	3.514000	1.547838	3.468000	1.577015	0.000000
140.000000	3.430000	1.472786	3.523000	1.573998	0.000000	3.463000	1.537736	3.448000	1.589747	0.000000
141.000000	3.417000	1.484962	3.527000	1.594136	0.000000	3.450000	1.539968	3.503000	1.594989	0.000000
142.000000	3.414000	1.470579	3.490000	1.601218	0.000000	3.416000	1.528052	3.518000	1.580404	0.000000
143.000000	3.436000	1.475095	3.443000	1.568040	0.000000	3.451000	1.560000	3.527000	1.592253	0.000000
144.000000	3.441000	1.496168	3.448000	1.499098	0.000000	3.434000	1.604881	3.512000	1.605570	0.000000
145.000000	3.424000	1.520600	3.431000	1.489711	0.000000	3.407000	1.599172	3.510000	1.576039	0.000000
146.000000	3.436000	1.562019	3.435000	1.490562	0.000000	3.432000	1.591030	3.490000	1.550452	0.000000
147.000000	3.456000	1.551149	3.457000	1.488002	0.000000	3.409000	1.551038	3.459000	1.506758	0.000000
148.000000	3.455000	1.542068	3.416000	1.477479	0.000000	3.425000	1.549960	3.454000	1.512575	0.000000
149.000000	3.484000	1.557480	3.427000	1.460367	0.000000	3.431000	1.566920	3.432000	1.519005	0.000000
150.000000	3.452000	1.555537	3.438000	1.484640	0.000000	3.452000	1.544570	3.422000	1.498638	0.000000
151.000000	3.476000	1.562506	3.447000	1.484989	0.000000	3.422000	1.558819	3.426000	1.486110	0.000000
152.000000	3.498000	1.575435	3.442000	1.501545	0.000000	3.431000	1.554104	3.486000	1.507250	0.000000
153.000000	3.518000	1.572156	3.440000	1.491442	0.000000	3.452000	1.606766	3.474000	1.485707	0.000000
154.000000	3.500000	1.560769	3.437000	1.493998	0.000000	3.485000	1.596801	3.470000	1.491006	0.000000
155.000000	3.508000	1.547235	3.431000	1.513684	0.000000	3.490000	1.604338	3.464000	1.502899	0.000000
156.000000	3.542000	1.578682	3.430000	1.465299	0.000000	3.445000	1.581447	3.502000	1.545314	0.000000
157.000000	3.530000	1.567514	3.449000	1.491107	0.000000	3.406000	1.587187	3.491000	1.543994	0.000000
158.000000	3.526000	1.563753	3.440000	1.495460	0.000000	3.398000	1.558074	3.492000	1.515235	0.000000
159.000000	3.570000	1.540487	3.491000	1.500640	0.000000	3.440000	1.538961	3.491000	1.538154	0.000000
160.000000	3.562000	1.555685	3.487000	1.536174	0.000000	3.444000	1.511577	3.483000	1.525028	0.000000
161.000000	3.529000	1.556007	3.477000	1.536708	0.000000	3.444000	1.535208	3.504000	1.530354	0.000000
162.000000	3.550000	1.547094	3.451000	1.537400	0.000000	3.459000	1.556380	3.501000	1.542076	0.000000
163.000000	3.516000	1.557480	3.466000	1.524744	0.000000	3.466000	1.555906	3.525000	1.520321	0.000000
164.000000	3.514000	1.538117	3.490000	1.545283	0.000000	3.471000	1.582769	3.526000	1.523589	0.000000
165.000000	3.520000	1.561282	3.491000	1.524441	0.000000	3.470000	1.567514	3.511000	1.504619	0.000000
166.000000	3.451000	1.579746	3.494000	1.526422	0.000000	3.506000	1.579229	3.519000	1.481094	0.000000
167.000000	3.438000	1.531717	3.512000	1.540732	0.000000	3.474000	1.575857	3.498000	1.485260	0.000000
168.000000	3.438000	1.515307	3.513000	1.539426	0.000000	3.472000	1.561159	3.472000	1.511693	0.000000
169.000000	3.391000	1.499373	3.460000	1.521315	0.000000	3.431000	1.543774	3.466000	1.510908	0.000000
170.000000	3.390000	1.514563	3.472000	1.564358	0.000000	3.456000	1.560149	3.433000	1.524963	0.000000
171.000000	3.371000	1.546402	3.416000	1.533279	0.000000	3.445000	1.560441	3.412000	1.546045	0.000000
172.000000	3.426000	1.535749	3.448000	1.548320	0.000000	3.411000	1.563355	3.388000	1.530835	0.000000
173.000000	3.477000	1.537358	3.437000	1.569086	0.000000	3.404000	1.577588	3.356000	1.541838	0.000000
174.000000	3.463000	1.500210	3.446000	1.552767	0.000000	3.444000	1.562966	3.372000	1.523029	0.000000
175.000000	3.510000	1.515883	3.449000	1.557369	0.000000	3.429000	1.588383	3.348000	1.509601	0.000000
176.000000	3.504000	1.484582	3.491000	1.519184	0.000000	3.421000	1.588005	3.348000	1.537822	0.000000
177.000000	3.495000	1.521833	3.477000	1.536057	0.000000	3.444000	1.571262	3.372000	1.564486	0.000000
178.000000	3.470000	1.573881	3.525000	1.550927	0.000000	3.446000	1.534628	3.400000	1.588081	0.000000
179.000000	3.475000	1.567602	3.493000	1.533607	0.000000	3.417000	1.491010	3.385000	1.602116	0.000000
180.000000	3.482000	1.549089	3.491000	1.555609	0.000000	3.396000	1.506381	3.352000	1.553092	0.000000
181.000000	3.442000	1.540985	3.452000	1.532872	0.000000	3.361000	1.484143	3.353000	1.525907	0.000000
182.000000	3.412000	1.523239	3.448000	1.505090	0.000000	3.379000	1.480324	3.368000	1.559030	0.000000
183.000000	3.449000	1.553512	3.487000	1.502608	0.000000	3.410000	1.509934	3.348000	1.534567	0.000000
184.000000	3.457000	1.540828	3.440000	1.524598	0.000000	3.394000	1.524062	3.359000	1.519908	0.000000
185.000000	3.454000	1.538143	3.441000	1.521354	0.000000	3.389000	1.505217	3.376000	1.483450	0.000000
186.000000	3.512000	1.506604	3.462000	1.532500	0.000000	3.404000	1.472000	3.358000	1.491253	0.000000
187.000000	3.503000	1.503327	3.485000	1.538108	0.000000	3.404000	1.476748	3.382000	1.507341	0.000000
188.000000	3.522000	1.527585	3.480000	1.566397	0.000000	3.393000	1.501516	3.362000	1.531325	0.000000
189.000000	3.491000	1.540753	3.447000	1.587196	0.000000	3.400000	1.536229	3.367000	1.534376	0.000000
190.000000	3.498000	1.539479	3.433000	1.579719	0.000000	3.421000	1.531587	3.398000	1.535447	0.000000
191.000000	3.496000	1.528393	3.463000	1.576271	0.000000	3.428000	1.511561	3.411000	1.517260	0.000000
192.000000	3.539000	1.535083	3.454000	1.561372	0.000000	3.460000	1.514067	3.421000	1.504579	0.000000
193.000000	3.514000	1.513871	3.466000	1.557191	0.000000	3.405000	1.524131	3.415000	1.529959	0.000000
194.000000	3.493000	1.538165	3.479000	1.581632	0.000000	3.432000	1.534723	3.425000	1.557683	0.000000
195.000000	3.491000	1.513909	3.499000	1.558204	0.000000	3.408000	1.556129	3.444000	1.542357	0.000000
196.000000	3.491000	1.490610	3.491000	1.540753	0.000000	3.402000	1.548676	3.454000	1.566488	0.000000
197.000000	3.507000	1.501982	3.481000	1.540662	0.000000	3.440000	1.572387	3.449000	1.599187	0.000000
198.000000	3.492000	1.544648	3.473000	1.489050	0.000000	3.439000	1.583755	3.432000	1.575238	0.000000
199.000000	3.477000	1.558676	3.509000	1.481863	0.000000	3.437000	1.585570	3.397000	1.584737	0.000000
